id_vaga,job_role,inf_titulo_vaga,inf_cliente,inf_vaga_sap,perfil_nivel_academico,perfil_nivel profissional,perfil_nivel_ingles,perfil_nivel_espanhol,perfil_competencia_tecnicas_e_comportamentais,perfil_principais_atividades
5183,Engenheiro/Analista de Dados,ANALISTA PL/JR C/ SQL,"Morris, Moran and Dodson",Não,Ensino Superior Completo,Analista,Nenhum,Intermediário,"Requisitos mandatórios:
 
 o Conhecimentos Técnicos: Conhecimento SQL, e algum conhecimento de SAP SD
 o Competências Interpessoais: Relacionamento interpessoal, foco no cliente, trabalho em equipe, excelente
 comunicação, e adaptabilidade.
 
 Requisitos desejáveis:
 o Idiomas: Espanhol nível intermediário.","Descrição – Atividades:
 
 o Monitoramento das interfaces KDP
 o Monitoramento sistema B2B durante o dia
 o Monitoramento do Whatsapp durante o dia
 o Monitoramento da subida de pedidos (KDP, WAE e B2B)
 o Suporte para equipe comercial quando tem problemas em algum cliente no WAE
 o Suporte Aplicativo Pitcher (Projeto Promotores).
 o Suporte no grupo whatsapp KDP, para vendedores e executivos
 o Atendimento da fila de chamados SM9 do grupo KDP
 o Validação das listas de visitas de C4C toda quinta e sexta
 o Garantir que as necessidades dos clientes sejam atendidas à medida que o projeto evolui"
5170,Engenheiro/Analista de Dados,DBA SQL-Wolks,Barnes-Woods,Não,Ensino Médio Completo,Sênior,Nenhum,Fluente,"desc, email","desc, email"
5148,Engenheiro/Analista de Dados,Data Migration - 11888105,Nelson-Page,Não,Ensino Superior Completo,Especialista,Básico,Básico,"Descrição/Comentário: Especialista - Migração
 Assists clients by translating organization strategies, business challenges, and objectives into the design of enabling technology roadmaps and solutions.
 Especialista para auxiliar na migração de dados de clientes e empresariais de uma operadora para outra.
 Outros detalhes do trabalho: -Possibilidade de absorção -Trabalho remoto por conta da pandemia -Horário das 9h ás 18h","Descrição/Comentário: Especialista - Migração
 Assists clients by translating organization strategies, business challenges, and objectives into the design of enabling technology roadmaps and solutions.
 Especialista para auxiliar na migração de dados de clientes e empresariais de uma operadora para outra.
 Outros detalhes do trabalho: -Possibilidade de absorção -Trabalho remoto por conta da pandemia -Horário das 9h ás 18h
 Primary Skill Data Migration"
5107,Engenheiro/Analista de Dados,Master Data Management- 11896653,Nelson-Page,Não,Ensino Superior Completo,Analista,Intermediário,Básico,"Master Data Management - Analista Sênior de MDM para atuação em Processo de Cadastro de Clientes, Fornecedores, Matéria Prima e Produtos junto a sistema SAP do Cliente.
 Será responsável por realizar as atividades envolvidas em todo o processo de cadastro das frentes descritas acima.Será esperado perfil técnico e de liderança de pequenas equipes.
 Desejado conhecimento e vivência na área de MDM e DBA, bem como na criação e acompanhamento de indicadores de performance e de negócios.
 Formação na área de Tecnologia da Informação (Ciência da Computação, Análise de Sistemas, Engenharia de Software ou Tecnologia da Informação).
 Ter Conhecimento de SAP.
 -Competências Técnicas Específicas:
 -Master Data Management: Proficiente.
 Linguagem SQL: Diferencial.
 -Conhecimentos das Ferramentas: Power BI, Power Pivot (Excel), Access, Bancos de Dados (SQL Sever, Oracle, My SQL): Diferencial.
 -MS Excel: Domina.
 -Experiência na implementação e manutenção de KPIs: Diferencial.
 -Conhecimentos em SAP AFS: Diferencial.
 -Conhecimentos em SAP: Básico.
 -Linguagem VBA: Diferencial.
 -Inglês: Escrita e Leitura intermediário.
 Outros detalhes do trabalho: 1 - Microsoft Excel (P3 - Advanced) | 2 - Microsoft Power BI (P2 - Intermediate) | 3 - SAP Business Planning and Consolidation (P2 - Intermediate) | 4 - SQL (Structured Query Language) (P2 - Intermediate)
 Primary Skill * Others (Please note the Skill at the beginning of Job Description)","Master Data Management - Analista Sênior de MDM para atuação em Processo de Cadastro de Clientes, Fornecedores, Matéria Prima e Produtos junto a sistema SAP do Cliente.
 Será responsável por realizar as atividades envolvidas em todo o processo de cadastro das frentes descritas acima.Será esperado perfil técnico e de liderança de pequenas equipes.
 Desejado conhecimento e vivência na área de MDM e DBA, bem como na criação e acompanhamento de indicadores de performance e de negócios.
 Formação na área de Tecnologia da Informação (Ciência da Computação, Análise de Sistemas, Engenharia de Software ou Tecnologia da Informação).
 Ter Conhecimento de SAP.
 -Competências Técnicas Específicas:
 -Master Data Management: Proficiente.
 Linguagem SQL: Diferencial.
 -Conhecimentos das Ferramentas: Power BI, Power Pivot (Excel), Access, Bancos de Dados (SQL Sever, Oracle, My SQL): Diferencial.
 -MS Excel: Domina.
 -Experiência na implementação e manutenção de KPIs: Diferencial.
 -Conhecimentos em SAP AFS: Diferencial.
 -Conhecimentos em SAP: Básico.
 -Linguagem VBA: Diferencial.
 -Inglês: Escrita e Leitura intermediário.
 Outros detalhes do trabalho: 1 - Microsoft Excel (P3 - Advanced) | 2 - Microsoft Power BI (P2 - Intermediate) | 3 - SAP Business Planning and Consolidation (P2 - Intermediate) | 4 - SQL (Structured Query Language) (P2 - Intermediate)
 Primary Skill * Others (Please note the Skill at the beginning of Job Description)"
5106,Engenheiro/Analista de Dados,Master Data Management - 11885552,Nelson-Page,Não,Ensino Superior Completo,Analista,Avançado,Básico,"Master Data Management - Analista de MDM para atuação em Processo de Cadastro de Clientes, Fornecedores, Matéria Prima e Produtos junto a sistema SAP do Cliente.
 Será responsável por executar as atividades envolvidas em todo o processo de cadastro das frentes descritas acima. Será esperado perfil técnico com conhecimentos do processo de cadastro.
 Desejado conhecimento e vivência na área de MDM e DBA, bem como na criação e acompanhamento de indicadores de performance e de negócios.
 Formação na área de Tecnologia da Informação (Ciência da Computação, Análise de Sistemas, Engenharia de Software ou Tecnologia da Informação).
 Conhecimento básico em SAP.
 -Competências Técnicas Específicas:
 -Master Data Management: Proficiente
 -Linguagem SQL: Proficiente.
 -Conhecimentos das Ferramentas: Power BI, Power Pivot (Excel), Access, Bancos de Dados (SQL Sever, Oracle, My SQL): Proficiente.
 -MS Excel: Domina.
 -Experiência na implementação e manutenção de KPIs: Proficiente
 -Conhecimentos em SAP AFS: Diferencial.
 -Conhecimentos em SAP: Proficiente.
 -Linguagem VBA: Básico.
 -Inglês: Avançado.
 Outros detalhes do trabalho: 1 - Microsoft Excel (P3 - Advanced) | 2 - Microsoft Power BI (P2 - Intermediate) | 3 - SQL (Structured Query Language) (P1 - Beginner) | 4 - Visual Basic for Applications (VBA) Programming Language (P1 - Beginner)
 Primary Skill * Others (Please note the Skill at the beginning of Job Description)","Master Data Management - Analista de MDM para atuação em Processo de Cadastro de Clientes, Fornecedores, Matéria Prima e Produtos junto a sistema SAP do Cliente.
 Será responsável por executar as atividades envolvidas em todo o processo de cadastro das frentes descritas acima. Será esperado perfil técnico com conhecimentos do processo de cadastro.
 Desejado conhecimento e vivência na área de MDM e DBA, bem como na criação e acompanhamento de indicadores de performance e de negócios.
 Formação na área de Tecnologia da Informação (Ciência da Computação, Análise de Sistemas, Engenharia de Software ou Tecnologia da Informação).
 Conhecimento básico em SAP.
 -Competências Técnicas Específicas:
 -Master Data Management: Proficiente
 -Linguagem SQL: Proficiente.
 -Conhecimentos das Ferramentas: Power BI, Power Pivot (Excel), Access, Bancos de Dados (SQL Sever, Oracle, My SQL): Proficiente.
 -MS Excel: Domina.
 -Experiência na implementação e manutenção de KPIs: Proficiente
 -Conhecimentos em SAP AFS: Diferencial.
 -Conhecimentos em SAP: Proficiente.
 -Linguagem VBA: Básico.
 -Inglês: Avançado.
 Outros detalhes do trabalho: 1 - Microsoft Excel (P3 - Advanced) | 2 - Microsoft Power BI (P2 - Intermediate) | 3 - SQL (Structured Query Language) (P1 - Beginner) | 4 - Visual Basic for Applications (VBA) Programming Language (P1 - Beginner)
 Primary Skill * Others (Please note the Skill at the beginning of Job Description)"
5079,Engenheiro/Analista de Dados,Master Data Management - 11889629,Nelson-Page,Não,Ensino Superior Completo,Analista,Básico,Básico,"Master Data Management - Analista de MDM para atuação em Processo de Cadastro de Clientes, Fornecedores, Matéria Prima e Produtos junto a sistema SAP do Cliente.
 Será responsável por executar as atividades envolvidas em todo o processo de cadastro das frentes descritas acima. Será esperado perfil técnico com conhecimentos do processo de cadastro.
 Desejado conhecimento e vivência na área de MDM e DBA, bem como na criação e acompanhamento de indicadores de performance e de negócios.
 Formação na área de Tecnologia da Informação (Ciência da Computação, Análise de Sistemas, Engenharia de Software ou Tecnologia da Informação).
 Conhecimento básico em SAP.
 Outros detalhes do trabalho: 1 - Microsoft Excel (P3 - Advanced) | 2 - Microsoft Power BI (P2 - Intermediate) | 3 - SQL (Structured Query Language) (P1 - Beginner) | 4 - Visual Basic for Applications (VBA) Programming Language (P1 - Beginner)
 Primary Skill * Others (Please note the Skill at the beginning of Job Description)","Master Data Management - Analista de MDM para atuação em Processo de Cadastro de Clientes, Fornecedores, Matéria Prima e Produtos junto a sistema SAP do Cliente.
 Será responsável por executar as atividades envolvidas em todo o processo de cadastro das frentes descritas acima. Será esperado perfil técnico com conhecimentos do processo de cadastro.
 Desejado conhecimento e vivência na área de MDM e DBA, bem como na criação e acompanhamento de indicadores de performance e de negócios.
 Formação na área de Tecnologia da Informação (Ciência da Computação, Análise de Sistemas, Engenharia de Software ou Tecnologia da Informação).
 Conhecimento básico em SAP.
 Outros detalhes do trabalho: 1 - Microsoft Excel (P3 - Advanced) | 2 - Microsoft Power BI (P2 - Intermediate) | 3 - SQL (Structured Query Language) (P1 - Beginner) | 4 - Visual Basic for Applications (VBA) Programming Language (P1 - Beginner)
 Primary Skill * Others (Please note the Skill at the beginning of Job Description)"
5078,Engenheiro/Analista de Dados,Master Data Management - 11885899,Nelson-Page,Não,Ensino Superior Completo,Analista,Básico,Básico,"Master Data Management - Analista Sênior de MDM para atuação em Processo de Cadastro de Clientes, Fornecedores, Matéria Prima e Produtos junto a sistema SAP do Cliente.
 Será responsável por realizar as atividades envolvidas em todo o processo de cadastro das frentes descritas acima.Será esperado perfil técnico e de liderança de pequenas equipes.
 Desejado conhecimento e vivência na área de MDM e DBA, bem como na criação e acompanhamento de indicadores de performance e de negócios.
 Formação na área de Tecnologia da Informação (Ciência da Computação, Análise de Sistemas, Engenharia de Software ou Tecnologia da Informação).
 Ter Conhecimento de SAP.
 Competências Técnicas Específicas
 Master Data Management
 Linguagem SQL
 Conhecimentos das Ferramentas: Power BI, Power Pivot (Excel), Access, Bancos de Dados (SQL Sever, Oracle, My SQL)
 MS Excel - Conhecer PIVOT, VBA, Formúlas diversas como Proc
 Experiência na implementação e manutenção de KPIs
 Conhecimentos em SAP AFS
 Conhecimentos em SAP
 Linguagem VBA
 Outros detalhes do trabalho: 1 - Microsoft Excel (P3 - Advanced) | 2 - Microsoft Power BI (P2 - Intermediate) | 3 - SAP Business Planning and Consolidation (P2 - Intermediate) | 4 - SQL (Structured Query Language) (P2 - Intermediate)
 Primary Skill * Others (Please note the Skill at the beginning of Job Description)
 Comments / Special Conditions -Possibilidade de absorção
 -Trabalho remoto por conta da pandemia
 -Horário das 8 ás 17h","Master Data Management - Analista Sênior de MDM para atuação em Processo de Cadastro de Clientes, Fornecedores, Matéria Prima e Produtos junto a sistema SAP do Cliente.
 Será responsável por realizar as atividades envolvidas em todo o processo de cadastro das frentes descritas acima.Será esperado perfil técnico e de liderança de pequenas equipes.
 Desejado conhecimento e vivência na área de MDM e DBA, bem como na criação e acompanhamento de indicadores de performance e de negócios.
 Formação na área de Tecnologia da Informação (Ciência da Computação, Análise de Sistemas, Engenharia de Software ou Tecnologia da Informação).
 Ter Conhecimento de SAP.
 Competências Técnicas Específicas
 Master Data Management
 Linguagem SQL
 Conhecimentos das Ferramentas: Power BI, Power Pivot (Excel), Access, Bancos de Dados (SQL Sever, Oracle, My SQL)
 MS Excel - Conhecer PIVOT, VBA, Formúlas diversas como Proc
 Experiência na implementação e manutenção de KPIs
 Conhecimentos em SAP AFS
 Conhecimentos em SAP
 Linguagem VBA
 Outros detalhes do trabalho: 1 - Microsoft Excel (P3 - Advanced) | 2 - Microsoft Power BI (P2 - Intermediate) | 3 - SAP Business Planning and Consolidation (P2 - Intermediate) | 4 - SQL (Structured Query Language) (P2 - Intermediate)
 Primary Skill * Others (Please note the Skill at the beginning of Job Description)
 Comments / Special Conditions -Possibilidade de absorção
 -Trabalho remoto por conta da pandemia
 -Horário das 8 ás 17h"
5025,Engenheiro/Analista de Dados,Analista de sistemas SQL - SR,"Morris, Moran and Dodson",Não,Ensino Superior Completo,Sênior,Avançado,Nenhum,"Requisitos desejáveis/diferencial
 o Conhecimento em .NET (VB.Net e/ou C#)
 o Conhecimento com especificações de casos de uso o Análise e modelagem de dados o Noções de Espanhol","Analista de sistemas Sr
 
 Requisitos essenciais
 o Formação na área de informática
 o Inglês avançado (imprescindível neste nível) o Conhecimento e experiência em banco de dados SQL Server
 Conhecimento em SQL
 Ser capaz de desenvolver e compreender Queries"
4998,Engenheiro/Analista de Dados,Application Dev - C# SQL - 11845429,"Wade, Bernard and Bailey",Não,Ensino Superior Completo,Analista,Básico,Básico,"Local de Trabalho: São Paulo
 
 Design, build and configure applications to meet business process andapplication requirements.
 Primary Skill .NET Programming","Local de Trabalho: São Paulo
 
 Design, build and configure applications to meet business process andapplication requirements.
 Primary Skill .NET Programming"
4887,Engenheiro/Analista de Dados,Eng De Dados - 11812275,Nelson-Page,Não,Ensino Superior Completo,Analista,Básico,Básico,"Construção de processos de ingestão de dados.
 
 Desenvolvimento de códigos utilizando-se das linguagens / tools citados abaixo:
 SQL
 Ferramenta de ETL
 Banco de dados (Oracle ou SQL Server ou Teradata)
 Ferramentas de BigData (Hadoop, Hive, Impala, HDFS)
 Metodologia Ágil
 Python
 Spark / Scala
 Shell Script
 Outros detalhes do trabalho: 1 - Analytics Solution Architecture (P1 - Beginner) | 2 - Big Data Analytics (P1 - Beginner)
 Primary Skill * Others (Please note the Skill at the beginning of Job Description)","Construção de processos de ingestão de dados.
 
 Desenvolvimento de códigos utilizando-se das linguagens / tools citados abaixo:
 SQL
 Ferramenta de ETL
 Banco de dados (Oracle ou SQL Server ou Teradata)
 Ferramentas de BigData (Hadoop, Hive, Impala, HDFS)
 Metodologia Ágil
 Python
 Spark / Scala
 Shell Script
 Outros detalhes do trabalho: 1 - Analytics Solution Architecture (P1 - Beginner) | 2 - Big Data Analytics (P1 - Beginner)
 Primary Skill * Others (Please note the Skill at the beginning of Job Description)"
6702,Engenheiro/Analista de Dados,Oracle Data Relationship - 12268209,Nelson-Page,Não,Ensino Superior Completo,Analista,Básico,Básico,Outros detalhes do trabalho: 1 - Data Science (P4 - Expert) | 2 - Data Strategy (P4 - Expert) | 3 - Big Data Analytics (P1 - Beginner),"Data Analytics and Interpretation - Oracle Data Relationship Management (DRM) is an enterprise change management solution for building and retaining consistency within master data assets despite endless changes necessary to support underlying transactional and analytical systems.
 
 Análise e Interpretação de Dados - O DRM (Oracle Data Relationship Management, gerenciamento de relacionamento de dados) é uma solução de gerenciamento de mudanças corporativas para a construção e retenção de consistência dentro de ativos de dados mestres, apesar de infinitas mudanças necessárias para suportar sistemas transacionais e analíticos subjacentes.
 
 Horário: das 8 às 17hs"
6689,Engenheiro/Analista de Dados,4556249 - Data Engineer - Business Intelligence,Miller-Curry,Não,Ensino Superior Completo,Sênior,Nenhum,Nenhum,Data Engineer - Business Intelligence,Data Engineer - Business Intelligence
6659,Engenheiro/Analista de Dados,Data&AI / Data Lead - 12261491,Nelson-Page,Não,Ensino Superior Completo,Analista,Básico,Básico,"Primary Skill: Business Process Design
 
 Outros detalhes do trabalho: 1 - Business Process Analysis Tools (P1 - Beginner) | 2 - Process Design Mapping and Analysis (P1 - Beginner).","Descrição/Comentário:
 1 - Pode ser um consultor funcional de MM, SD ou FI.
 2 - A pessoa precisa ter experiência com processo de conversão de dados em ambiente SAP S4 Hana.
 3 – Precisa conhece a ferramenta “Migration Cockpit” do SAP S4
 4 - Precisa ter experiência em coordenação de equipes, gestão de cronograma.
 
 Remoto por conta da pandemia. Mas, voltará a ser presencial em breve.
 
 Localidade do projeto: SP
 
 Horário comercial
 
 Possibilidade de absorção"
6630,Engenheiro/Analista de Dados,"4523211 - PL/SQL, JAVA",Miller-Curry,Não,Ensino Superior Completo,Sênior,Nenhum,Nenhum,"PL/SQL, JAVA","PL/SQL, JAVA"
6610,Engenheiro/Analista de Dados,4525015 - ETL,Miller-Curry,Não,Ensino Superior Completo,Sênior,Nenhum,Nenhum,ETL,ETL
6574,Engenheiro/Analista de Dados,4523311 - Programador PL/SQL Senior,Miller-Curry,Não,Ensino Superior Completo,Sênior,Nenhum,Nenhum,Programador PL/SQL Senior,Programador PL/SQL Senior
6525,Engenheiro/Analista de Dados,4511168 - Data Engineer-Business Intelligence,Miller-Curry,Não,Ensino Superior Completo,Sênior,Nenhum,Nenhum,Data Engineer-Business Intelligence,Data Engineer-Business Intelligence
6500,Engenheiro/Analista de Dados,Consultor Magnus DataSul - Prop. 505/2021,Morrison Ltd,Não,Ensino Técnico Completo,Pleno,Nenhum,Nenhum,"Recebemos uma demanda do nosso cliente onde eles precisam de um recurso para coletar informações antigas que estão dentro do sistema Magnus/Data Sul.
 O servidor está dentro da casa do cliente.",Consultor Magnus Data Sul
6494,Engenheiro/Analista de Dados,Data Analyst - INOVAÇÂO,"Miller, Tran and Chang",Não,Ensino Superior Completo,Analista,Básico,Básico,Outros detalhes da vaga: Presencial,Data Analyst
6493,Engenheiro/Analista de Dados,Data Scientist - INOVAÇÂO,"Miller, Tran and Chang",Não,Ensino Superior Completo,Analista,Básico,Básico,Outros detalhes da vaga: Presencial,Data Scientist
